id_chamado,data_inicio,data_fim,id_bairro,id_territorialidade,id_logradouro,numero_logradouro,id_unidade_organizacional,nome_unidade_organizacional,id_unidade_organizacional_mae,unidade_organizacional_ouvidoria,categoria,id_tipo,tipo,id_subtipo,subtipo,status,longitude,latitude,data_alvo_finalizacao,data_alvo_diagnostico,data_real_diagnostico,tempo_prazo,prazo_unidade,prazo_tipo,dentro_prazo,situacao,tipo_situacao,justificativa_status,reclamacoes,data_particao,geometry
18516246,2023-04-01T00:55:38,2023-04-01T00:55:38,,,,,1706,TR/SUBOP/CFT - Coordenadoria de Fiscalização em Transportes,SMTR - Secretaria Municipal de Transportes,False,Serviço,93,Ônibus,1242,Verificação de ar condicionado inoperante no ônibus,Fechado com informação,,,2023-04-11T00:55:00,,,,D,F,No prazo,Encerrado,Atendido parcialmente,,0,2023-04-01,
18516254,2023-04-01T01:08:04,2023-04-01T01:43:38,1,1,62364,60,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Não constatado,,,2023-04-01T03:08:00,,,,H,F,No prazo,Encerrado,Não constatado,,0,2023-04-01,
18516194,2023-04-01T00:04:59,,14,1,76992,120,1240,CCU - 1º Serviço de Fiscalização,CCU - Coordenadoria de Controle Urbano,False,Serviço,243,Comércio ambulante,1101,Fiscalização de comércio ambulante,Aberto,-43.186679,-22.921335,2023-05-01T00:04:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.186679 -22.921335)
18516238,2023-04-01T00:38:22,,5,1,60483,319,1258,CFE - Coordenação de Feiras,SEOP - Secretaria Municipal de Ordem Pública,False,Serviço,244,Feiras,1108,"Fiscalização/Inspeção de feira livre, feira de artes, feira especial e feira de ambulantes",Aberto,-43.1882526,-22.9122295,2023-04-16T00:38:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1882526 -22.9122295)
18516208,2023-04-01T00:14:00,,14,1,76992,90,82,CLF - Coordenadoria de Licenciamento e Fiscalização,CLF - Coordenadoria de Licenciamento e Fiscalização,False,Serviço,246,Ocupação de área pública,1111,Fiscalização da ocupação de área pública por mesas e cadeiras ,Aberto,-43.1872883,-22.9211226,2023-05-01T00:14:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1872883 -22.9211226)
18516200,2023-04-01T00:08:57,,14,1,76992,121,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.1863882,-22.921276,2023-04-08T00:08:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1863882 -22.921276)
18516244,2023-04-01T00:51:41,,161,1,61333,200,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.177797,-22.916378,2023-04-08T00:51:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.177797 -22.916378)
18516186,2023-04-01T00:03:51,,161,1,61325,200,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,,,2023-04-08T00:03:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516204,2023-04-01T00:10:15,,33,2,102756,33,8,RIOLUZ - Companhia Municipal de Energia e Iluminação,RIOLUZ - Companhia Municipal de Energia e Iluminação,False,Serviço,1,Iluminação Pública,6,Reparo de lâmpada apagada,Aberto,-43.2370889,-22.9360903,2023-04-05T00:10:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2370889 -22.9360903)
18516221,2023-04-01T00:20:36,,33,2,83048,543,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,272,Limpeza,1279,Capina em logradouro,Aberto,-43.2382077,-22.9360785,2023-04-21T00:20:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2382077 -22.9360785)
18516247,2023-04-01T00:57:30,,15,2,75804,45,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,281,Remoção Gratuita,1325,Remoção de entulho e bens inservíveis,Aberto,-43.1759738,-22.9312377,2023-04-18T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1759738 -22.9312377)
18516181,2023-04-01T00:00:37,,26,2,69591,259,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,782,Estacionamento Irregular,2966,Fiscalização de estacionamento irregular de veículo,Em Andamento,-43.2273731,-22.9839446,2023-04-01T02:00:00,,,,H,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2273731 -22.9839446)
18516213,2023-04-01T00:16:10,,26,2,74468,122,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Aberto,-43.2223353,-22.9829683,2023-04-08T00:16:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2223353 -22.9829683)
18516199,2023-04-01T00:08:22,,26,2,74468,156,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Aberto,-43.2227213,-22.9820428,2023-04-08T00:08:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2227213 -22.9820428)
18516218,2023-04-01T00:18:32,,17,2,81307,6,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Aberto,-43.1799996,-22.9337607,2023-04-08T00:18:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1799996 -22.9337607)
18516261,2023-04-01T01:23:20,,26,2,69591,541,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.2254738,-22.9824076,2023-04-08T01:23:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2254738 -22.9824076)
18516212,2023-04-01T00:15:18,,26,2,74468,122,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.2223353,-22.9829683,2023-04-08T00:15:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2223353 -22.9829683)
18516237,2023-04-01T00:38:21,,18,2,65102,42,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.1781994,-22.9250817,2023-04-08T00:38:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1781994 -22.9250817)
18516196,2023-04-01T00:07:09,,26,2,74468,156,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.2227213,-22.9820428,2023-04-08T00:07:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.2227213 -22.9820428)
18516253,2023-04-01T01:05:30,,20,2,64873,154,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.1817727,-22.9563607,2023-04-08T01:05:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1817727 -22.9563607)
18516258,2023-04-01T01:13:52,,25,2,82479,47,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.1988138,-22.9851666,2023-04-08T01:13:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1988138 -22.9851666)
18516210,2023-04-01T00:14:41,,25,2,72819,130,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,1393,Poluição sonora,5071,Perturbação do sossego,Em Andamento,-43.1946673,-22.9844968,2023-04-08T00:14:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,POINT(-43.1946673 -22.9844968)
18516216,2023-04-01T00:18:23,,33,2,83048,636,170,05aGC,SECONSERVA,False,Serviço,8,Pavimentação,78,"Reparo de buraco, deformação ou afundamento na pista",Aberto,,,2023-04-12T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516245,2023-04-01T00:52:12,,36,2,81737,85,118,COMLURB - Companhia Municipal de Limpeza Urbana,COMLURB - Companhia Municipal de Limpeza Urbana,False,Serviço,281,Remoção Gratuita,1325,Remoção de entulho e bens inservíveis,Aberto,,,2023-04-18T00:00:00,,,,D,F,Fora do prazo,Não Encerrado,Andamento,,0,2023-04-01,
18516189,2023-04-01T00:04:10,2023-04-01T01:17:25,66,3,19588,880,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,256,Postura Municipal,5232,Fiscalização de carros de som,Não constatado,-43.2882233,-22.9045871,2023-04-07T00:04:00,,,,D,F,No prazo,Encerrado,Não constatado,,0,2023-04-01,POINT(-43.2882233 -22.9045871)
18516188,2023-04-01T00:03:59,2023-04-01T01:18:13,66,3,19588,880,70,GM-RIO - Guarda Municipal do Rio de Janeiro,GM-RIO - Guarda Municipal do Rio de Janeiro,False,Serviço,256,Postura Municipal,5232,Fiscalização de carros de som,Fechado com solução,-43.2882233,-22.9045871,2023-04-07T00:03:00,,,,D,F,No prazo,Encerrado,Atendido,,0,2023-04-01,POINT(-43.2882233 -22.9045871)
